Geography,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Total population,Hispanic or Latino (of any race),Not Latino,One Race,Two or More Races
"Kanabec township, Kanabec County, Minnesota",881,876,3,16,5,0,0,881,6,875,862,19
"Knife Lake township, Kanabec County, Minnesota",987,973,0,10,14,0,0,987,10,977,977,10
"Kroschel township, Kanabec County, Minnesota",202,202,0,0,0,0,0,202,0,202,202,0
"Mora city, Kanabec County, Minnesota",3468,3419,33,104,0,0,0,3468,65,3403,3406,62
"Ogilvie city, Kanabec County, Minnesota",392,381,7,4,3,2,0,392,8,384,387,5
"Peace township, Kanabec County, Minnesota",1018,992,50,6,0,0,0,1018,43,975,988,30
"Pomroy township, Kanabec County, Minnesota",349,340,0,8,0,0,1,349,1,348,349,0
"Quamba city, Kanabec County, Minnesota",163,146,16,17,0,0,0,163,16,147,149,14
"South Fork township, Kanabec County, Minnesota",886,825,18,3,50,30,0,886,4,882,846,40
"Whited township, Kanabec County, Minnesota",735,722,9,8,2,2,0,735,2,733,727,8
"Arctander township, Kandiyohi County, Minnesota",308,308,0,0,6,0,0,308,10,298,302,6
"Atwater city, Kandiyohi County, Minnesota",1048,1033,0,0,26,0,0,1048,52,996,1037,11
"Blomkest city, Kandiyohi County, Minnesota",123,123,0,0,0,0,0,123,5,118,123,0
"Burbank township, Kandiyohi County, Minnesota",466,466,0,2,0,0,0,466,4,462,464,2
"Colfax township, Kandiyohi County, Minnesota",661,647,0,11,0,0,3,661,3,658,661,0
"Dovre township, Kandiyohi County, Minnesota",2040,1955,0,3,7,0,78,2040,80,1960,2037,3
"East Lake Lillian township, Kandiyohi County, Minnesota",190,190,0,0,0,0,0,190,0,190,190,0
"Edwards township, Kandiyohi County, Minnesota",264,263,1,0,0,0,0,264,5,259,264,0
"Fahlun township, Kandiyohi County, Minnesota",447,447,0,0,0,0,0,447,0,447,447,0
"Gennessee township, Kandiyohi County, Minnesota",433,429,0,1,0,0,4,433,8,425,432,1
"Green Lake township, Kandiyohi County, Minnesota",1575,1500,74,57,0,0,0,1575,24,1551,1519,56
"Harrison township, Kandiyohi County, Minnesota",554,554,0,0,0,0,0,554,0,554,554,0
"Holland township, Kandiyohi County, Minnesota",398,398,0,7,0,0,0,398,0,398,391,7
"Irving township, Kandiyohi County, Minnesota",995,995,0,4,0,0,2,995,20,975,989,6
"Kandiyohi city, Kandiyohi County, Minnesota",590,570,14,3,0,0,5,590,9,581,588,2
"Kandiyohi township, Kandiyohi County, Minnesota",597,587,0,0,0,0,10,597,14,583,597,0
"Lake Andrew township, Kandiyohi County, Minnesota",1033,1030,0,2,0,0,3,1033,25,1008,1031,2
"Lake Elizabeth township, Kandiyohi County, Minnesota",173,173,7,0,0,0,0,173,2,171,166,7
"Lake Lillian city, Kandiyohi County, Minnesota",295,290,1,1,3,0,0,295,4,291,295,0
"Lake Lillian township, Kandiyohi County, Minnesota",202,197,0,0,5,0,0,202,4,198,202,0
"Mamre township, Kandiyohi County, Minnesota",528,525,5,0,0,0,6,528,56,472,520,8
"New London city, Kandiyohi County, Minnesota",1229,1205,0,8,0,0,24,1229,86,1143,1221,8
"New London township, Kandiyohi County, Minnesota",2955,2888,14,5,67,21,0,2955,11,2944,2915,40
"Norway Lake township, Kandiyohi County, Minnesota",244,244,0,1,0,0,0,244,0,244,243,1
"Pennock city, Kandiyohi County, Minnesota",496,445,0,3,0,0,50,496,121,375,494,2
"Prinsburg city, Kandiyohi County, Minnesota",532,503,6,2,12,0,11,532,11,521,530,2
"Raymond city, Kandiyohi County, Minnesota",689,661,4,10,19,0,27,689,53,636,657,32
"Regal city, Kandiyohi County, Minnesota",51,45,0,0,0,0,6,51,6,45,51,0
"Roseland township, Kandiyohi County, Minnesota",380,380,0,0,0,0,0,380,0,380,380,0
"Roseville township, Kandiyohi County, Minnesota",633,622,0,9,10,2,11,633,19,614,612,21
"St. Johns township, Kandiyohi County, Minnesota",380,350,0,0,36,0,2,380,19,361,372,8
"Spicer city, Kandiyohi County, Minnesota",1320,1320,0,9,0,0,0,1320,32,1288,1311,9
"Sunburg city, Kandiyohi County, Minnesota",75,75,0,0,0,0,0,75,0,75,75,0
"Whitefield township, Kandiyohi County, Minnesota",533,531,0,3,9,0,0,533,9,524,523,10
"Willmar city, Kandiyohi County, Minnesota",19608,15590,1976,249,251,0,1905,19608,4313,15295,19250,358
"Willmar township, Kandiyohi County, Minnesota",532,489,9,23,8,0,7,532,56,476,528,4
"Arveson township, Kittson County, Minnesota",41,41,0,0,0,0,0,41,0,41,41,0
"Cannon township, Kittson County, Minnesota",2,2,0,0,0,0,0,2,0,2,2,0
"Caribou township, Kittson County, Minnesota",35,35,0,0,0,0,0,35,0,35,35,0
"Clow township, Kittson County, Minnesota",70,70,0,0,0,0,0,70,0,70,70,0
"Davis township, Kittson County, Minnesota",25,25,0,0,0,0,0,25,0,25,25,0
"Deerwood township, Kittson County, Minnesota",146,145,1,0,0,0,0,146,0,146,146,0
"Donaldson city, Kittson County, Minnesota",10,10,0,0,0,0,0,10,0,10,10,0
"Granville township, Kittson County, Minnesota",34,34,0,0,0,0,0,34,0,34,34,0
"Hallock city, Kittson County, Minnesota",1088,1083,4,6,4,0,0,1088,44,1044,1079,9
"Hallock township, Kittson County, Minnesota",58,56,0,0,8,0,0,58,0,58,52,6
"Halma city, Kittson County, Minnesota",40,40,0,0,0,0,0,40,0,40,40,0
"Hampden township, Kittson County, Minnesota",35,35,0,0,0,0,0,35,0,35,35,0
"Hazelton township, Kittson County, Minnesota",62,62,0,0,0,0,0,62,0,62,62,0
"Hill township, Kittson County, Minnesota",5,5,0,0,0,0,0,5,0,5,5,0
"Humboldt city, Kittson County, Minnesota",20,20,0,0,3,0,0,20,0,20,17,3
"Jupiter township, Kittson County, Minnesota",70,70,0,0,0,0,0,70,0,70,70,0
"Karlstad city, Kittson County, Minnesota",851,826,21,12,0,0,0,851,0,851,843,8
"Kennedy city, Kittson County, Minnesota",272,270,0,0,0,0,2,272,2,270,272,0
"Klondike UT, Kittson County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0
"Lake Bronson city, Kittson County, Minnesota",231,230,0,1,0,0,0,231,0,231,231,0
"Lancaster city, Kittson County, Minnesota",367,367,0,1,0,0,0,367,39,328,366,1
"McKinley UT, Kittson County, Minnesota",18,18,0,0,0,0,0,18,0,18,18,0
"North Red River UT, Kittson County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0
"Norway township, Kittson County, Minnesota",105,101,2,0,0,0,2,105,0,105,105,0
"Peatland UT, Kittson County, Minnesota",5,5,0,0,0,0,0,5,0,5,5,0
"Pelan township, Kittson County, Minnesota",60,60,0,0,0,0,0,60,0,60,60,0
"Percy township, Kittson County, Minnesota",88,67,10,0,11,0,0,88,0,88,88,0
"Poppleton township, Kittson County, Minnesota",108,107,0,0,1,0,0,108,0,108,108,0
"Richardville township, Kittson County, Minnesota",80,80,0,0,0,0,2,80,0,80,78,2
"St. Joseph township, Kittson County, Minnesota",23,23,0,0,0,0,0,23,0,23,23,0
"St. Vincent city, Kittson County, Minnesota",43,40,3,0,1,0,0,43,0,43,42,1
"St. Vincent township, Kittson County, Minnesota",33,33,0,0,0,0,0,33,0,33,33,0
"Skane township, Kittson County, Minnesota",29,29,0,0,0,0,0,29,0,29,29,0
"South Red River township, Kittson County, Minnesota",2,2,0,0,0,0,0,2,0,2,2,0
"Spring Brook township, Kittson County, Minnesota",47,47,0,0,0,0,0,47,6,41,47,0
"Svea township, Kittson County, Minnesota",20,20,0,0,0,0,0,20,0,20,20,0
"Tegner township, Kittson County, Minnesota",25,25,0,0,0,0,0,25,0,25,25,0
"Teien township, Kittson County, Minnesota",37,37,0,0,0,0,0,37,0,37,37,0
"Thompson township, Kittson County, Minnesota",199,199,0,0,0,0,0,199,0,199,199,0
"Big Falls city, Koochiching County, Minnesota",278,276,0,9,0,0,0,278,0,278,271,7
"East Koochiching UT, Koochiching County, Minnesota",288,288,0,0,0,0,0,288,0,288,288,0
"International Falls city, Koochiching County, Minnesota",6121,5744,115,290,45,0,0,6121,0,6121,6048,73
"Littlefork city, Koochiching County, Minnesota",706,706,0,23,0,0,0,706,5,701,683,23
"Mizpah city, Koochiching County, Minnesota",127,123,0,20,0,0,0,127,0,127,111,16
"Nett Lake UT, Koochiching County, Minnesota",140,25,14,116,0,0,0,140,0,140,125,15
"Northome city, Koochiching County, Minnesota",254,221,0,31,2,0,0,254,0,254,254,0
"Northome UT, Koochiching County, Minnesota",534,477,0,61,2,0,0,534,0,534,528,6
"Northwest Koochiching UT, Koochiching County, Minnesota",492,480,0,3,12,0,0,492,5,487,489,3
"Rainy Lake UT, Koochiching County, Minnesota",3216,3180,0,36,0,0,0,3216,0,3216,3216,0
"Ranier city, Koochiching County, Minnesota",554,543,0,29,7,0,0,554,10,544,529,25
"South Koochiching UT, Koochiching County, Minnesota",66,66,0,5,0,0,0,66,0,66,61,5
"Agassiz township, Lac qui Parle County, Minnesota",49,49,0,0,0,0,0,49,0,49,49,0
"Arena township, Lac qui Parle County, Minnesota",82,82,0,0,0,0,0,82,0,82,82,0
"Augusta township, Lac qui Parle County, Minnesota",88,88,0,0,0,0,0,88,0,88,88,0
"Baxter township, Lac qui Parle County, Minnesota",167,167,0,0,0,0,0,167,0,167,167,0
"Bellingham city, Lac qui Parle County, Minnesota",238,210,0,0,0,0,28,238,32,206,238,0
"Boyd city, Lac qui Parle County, Minnesota",116,111,0,4,5,0,0,116,0,116,112,4
"Camp Release township, Lac qui Parle County, Minnesota",271,270,0,0,0,0,1,271,1,270,271,0
"Cerro Gordo township, Lac qui Parle County, Minnesota",138,136,0,0,2,0,0,138,0,138,138,0
"Dawson city, Lac qui Parle County, Minnesota",1631,1539,58,6,0,3,28,1631,76,1555,1628,3
"Freeland township, Lac qui Parle County, Minnesota",88,88,0,4,0,0,0,88,0,88,84,4
"Garfield township, Lac qui Parle County, Minnesota",95,95,0,0,0,0,0,95,0,95,95,0
"Hamlin township, Lac qui Parle County, Minnesota",153,153,0,0,0,0,0,153,0,153,153,0
"Hantho township, Lac qui Parle County, Minnesota",83,83,0,7,0,0,0,83,0,83,76,7
"Lac qui Parle township, Lac qui Parle County, Minnesota",152,152,0,0,0,0,0,152,0,152,152,0
"Lake Shore township, Lac qui Parle County, Minnesota",160,157,0,0,0,0,9,160,26,134,154,6
"Louisburg city, Lac qui Parle County, Minnesota",39,39,0,0,0,0,0,39,0,39,39,0
"Madison city, Lac qui Parle County, Minnesota",1574,1539,33,6,13,0,0,1574,6,1568,1557,17
"Madison township, Lac qui Parle County, Minnesota",164,164,0,0,0,0,0,164,0,164,164,0
"Manfred township, Lac qui Parle County, Minnesota",86,86,0,0,0,0,0,86,0,86,86,0
"Marietta city, Lac qui Parle County, Minnesota",169,164,0,5,1,0,0,169,0,169,168,1
"Maxwell township, Lac qui Parle County, Minnesota",121,121,0,0,0,0,0,121,0,121,121,0
"Mehurin township, Lac qui Parle County, Minnesota",102,102,0,0,0,0,0,102,0,102,102,0
"Nassau city, Lac qui Parle County, Minnesota",77,77,0,0,0,0,0,77,0,77,77,0
"Perry township, Lac qui Parle County, Minnesota",64,55,0,0,9,0,0,64,0,64,64,0
"Providence township, Lac qui Parle County, Minnesota",182,182,0,0,0,0,0,182,0,182,182,0
"Riverside township, Lac qui Parle County, Minnesota",313,313,0,0,0,0,0,313,3,310,313,0
"Ten Mile Lake township, Lac qui Parle County, Minnesota",153,153,2,0,0,0,0,153,0,153,151,2
"Walter township, Lac qui Parle County, Minnesota",144,144,0,0,0,0,0,144,0,144,144,0
"Yellow Bank township, Lac qui Parle County, Minnesota",141,141,0,0,0,0,0,141,0,141,141,0
"County subdivisions not defined, Lake County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0
"Beaver Bay city, Lake County, Minnesota",100,94,0,2,0,4,0,100,0,100,100,0
"Beaver Bay township, Lake County, Minnesota",458,458,0,6,0,3,0,458,32,426,449,9
"Crystal Bay township, Lake County, Minnesota",518,514,4,3,0,0,0,518,29,489,515,3
"Fall Lake township, Lake County, Minnesota",682,682,0,3,0,0,0,682,1,681,679,3
"Lake No. 1 UT, Lake County, Minnesota",47,47,0,0,0,0,0,47,0,47,47,0
"Lake No. 2 UT, Lake County, Minnesota",2057,2037,0,20,0,0,0,2057,0,2057,2057,0
"Silver Bay city, Lake County, Minnesota",1724,1668,49,10,0,0,31,1724,51,1673,1690,34
"Silver Creek township, Lake County, Minnesota",1265,1240,0,17,6,0,17,1265,17,1248,1250,15
"Stony River township, Lake County, Minnesota",176,165,0,12,0,0,0,176,22,154,175,1
"Two Harbors city, Lake County, Minnesota",3551,3458,106,51,12,0,1,3551,1,3550,3495,56
"Angle township, Lake of the Woods County, Minnesota",17,17,0,0,0,0,0,17,0,17,17,0
"Baudette city, Lake of the Woods County, Minnesota",1004,999,18,21,40,0,58,1004,66,938,872,132
"Baudette township, Lake of the Woods County, Minnesota",423,423,0,47,0,0,0,423,1,422,376,47
"Boone township, Lake of the Woods County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0
"Chilgren township, Lake of the Woods County, Minnesota",227,202,0,0,25,0,0,227,0,227,227,0
"Forest Area township, Lake of the Woods County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0
"Gudrid township, Lake of the Woods County, Minnesota",257,257,0,0,0,0,0,257,0,257,257,0
"Kiel township, Lake of the Woods County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0
"Lakewood township, Lake of the Woods County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0
"McDougald township, Lake of the Woods County, Minnesota",189,189,0,0,0,0,0,189,0,189,189,0
"Myhre township, Lake of the Woods County, Minnesota",232,232,0,0,0,0,0,232,0,232,232,0
"Potamo township, Lake of the Woods County, Minnesota",202,202,0,0,0,0,0,202,0,202,202,0
"Prosper township, Lake of the Woods County, Minnesota",217,217,0,18,0,0,0,217,0,217,199,18
"Rapid River township, Lake of the Woods County, Minnesota",13,6,0,7,0,0,0,13,0,13,13,0
"Roosevelt city, Lake of the Woods County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0
"Rulien township, Lake of the Woods County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0
"Spooner township, Lake of the Woods County, Minnesota",175,175,0,0,0,0,0,175,0,175,175,0
"Swiftwater township, Lake of the Woods County, Minnesota",33,33,0,0,0,0,0,33,0,33,33,0
"Township 157-30, Lake of the Woods County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0
"Township 158-30, Lake of the Woods County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0
"Victory township, Lake of the Woods County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0
"Wabanica township, Lake of the Woods County, Minnesota",329,329,0,13,0,0,0,329,0,329,316,13
"Walhalla township, Lake of the Woods County, Minnesota",34,34,0,0,0,0,0,34,0,34,34,0
"Wheeler township, Lake of the Woods County, Minnesota",205,205,0,0,0,0,0,205,0,205,205,0
"Williams city, Lake of the Woods County, Minnesota",106,106,0,2,0,0,0,106,0,106,104,2
"Zippel township, Lake of the Woods County, Minnesota",178,178,0,0,0,0,0,178,0,178,178,0
"Cleveland city, Le Sueur County, Minnesota",712,709,3,0,0,0,6,712,13,699,706,6
"Cleveland township, Le Sueur County, Minnesota",629,624,0,0,5,0,0,629,0,629,629,0
"Cordova township, Le Sueur County, Minnesota",502,500,0,0,2,0,0,502,0,502,502,0
"Derrynane township, Le Sueur County, Minnesota",351,351,0,0,0,0,0,351,0,351,351,0
"Elysian city, Le Sueur County, Minnesota",701,698,0,0,0,3,0,701,0,701,701,0
"Elysian township, Le Sueur County, Minnesota",1032,1028,0,0,17,0,0,1032,71,961,1019,13
"Heidelberg city, Le Sueur County, Minnesota",119,119,0,0,0,0,0,119,0,119,119,0
"Kasota city, Le Sueur County, Minnesota",758,681,74,0,8,0,2,758,7,751,751,7
"Kasota township, Le Sueur County, Minnesota",1500,1500,0,0,0,0,0,1500,25,1475,1500,0
"Kilkenny city, Le Sueur County, Minnesota",192,192,0,0,0,0,0,192,3,189,192,0
"Kilkenny township, Le Sueur County, Minnesota",389,389,11,11,0,2,0,389,2,387,376,13
"Lanesburgh township, Le Sueur County, Minnesota",1988,1976,0,3,27,0,0,1988,21,1967,1970,18
"Le Center city, Le Sueur County, Minnesota",2504,2300,32,8,5,0,170,2504,608,1896,2493,11
"Le Sueur city, Le Sueur County, Minnesota",4000,3802,0,20,133,0,126,4000,567,3433,3919,81
"Lexington township, Le Sueur County, Minnesota",757,754,15,0,3,0,0,757,21,736,742,15
"Mankato city, Le Sueur County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0
"Montgomery city, Le Sueur County, Minnesota",2921,2748,94,110,25,12,36,2921,114,2807,2822,99
"Montgomery township, Le Sueur County, Minnesota",731,731,0,0,0,0,2,731,4,727,729,2
"New Prague city, Le Sueur County, Minnesota",3091,3080,0,32,0,0,0,3091,69,3022,3070,21
"Ottawa township, Le Sueur County, Minnesota",325,325,0,0,0,0,0,325,0,325,325,0
"Sharon township, Le Sueur County, Minnesota",632,628,7,10,4,0,0,632,2,630,615,17
"Tyrone township, Le Sueur County, Minnesota",567,567,0,0,0,0,4,567,4,563,563,4
"Washington township, Le Sueur County, Minnesota",745,728,9,0,6,0,2,745,5,740,745,0
"Waterville city, Le Sueur County, Minnesota",1954,1894,46,6,20,0,0,1954,53,1901,1942,12
"Waterville township, Le Sueur County, Minnesota",710,703,0,0,0,0,7,710,8,702,710,0
"Alta Vista township, Lincoln County, Minnesota",114,114,0,0,0,0,0,114,0,114,114,0
"Arco city, Lincoln County, Minnesota",98,96,0,2,0,0,0,98,0,98,98,0
"Ash Lake township, Lincoln County, Minnesota",139,139,0,0,0,0,0,139,5,134,139,0
"Diamond Lake township, Lincoln County, Minnesota",142,142,0,0,0,0,0,142,0,142,142,0
"Drammen township, Lincoln County, Minnesota",110,110,0,0,0,0,0,110,0,110,110,0
"Hansonville township, Lincoln County, Minnesota",85,85,0,0,0,0,0,85,0,85,85,0
"Hendricks city, Lincoln County, Minnesota",799,752,17,33,0,0,16,799,49,750,780,19
"Hendricks township, Lincoln County, Minnesota",197,197,0,0,0,0,0,197,0,197,197,0
"Hope township, Lincoln County, Minnesota",313,311,0,0,4,0,0,313,0,313,311,2
"Ivanhoe city, Lincoln County, Minnesota",586,579,6,1,1,0,0,586,0,586,585,1
"Lake Benton city, Lincoln County, Minnesota",718,716,0,3,12,0,2,718,7,711,703,15
"Lake Benton township, Lincoln County, Minnesota",207,207,1,0,0,0,0,207,0,207,206,1
"Lake Stay township, Lincoln County, Minnesota",171,171,0,0,0,0,0,171,0,171,171,0
"Limestone township, Lincoln County, Minnesota",64,64,0,0,0,0,0,64,0,64,64,0
"Marble township, Lincoln County, Minnesota",126,125,0,1,0,0,0,126,0,126,126,0
"Marshfield township, Lincoln County, Minnesota",195,195,0,0,0,0,0,195,2,193,195,0
"Royal township, Lincoln County, Minnesota",109,109,0,0,0,0,0,109,0,109,109,0
"Shaokatan township, Lincoln County, Minnesota",148,142,0,1,0,0,5,148,6,142,148,0
"Tyler city, Lincoln County, Minnesota",1284,1260,16,5,7,0,0,1284,30,1254,1280,4
"Verdi township, Lincoln County, Minnesota",119,119,0,0,0,0,0,119,0,119,119,0
"Amiret township, Lyon County, Minnesota",204,201,3,0,0,0,0,204,0,204,204,0
"Balaton city, Lyon County, Minnesota",590,576,11,14,0,0,0,590,4,586,579,11
"Clifton township, Lyon County, Minnesota",229,214,0,3,12,0,0,229,0,229,229,0
"Coon Creek township, Lyon County, Minnesota",226,224,0,2,0,0,2,226,11,215,224,2
"Cottonwood city, Lyon County, Minnesota",1215,1143,0,0,23,0,52,1215,118,1097,1212,3
"Custer township, Lyon County, Minnesota",160,160,0,0,0,0,0,160,0,160,160,0
"Eidsvold township, Lyon County, Minnesota",267,265,0,0,0,0,2,267,4,263,267,0
"Fairview township, Lyon County, Minnesota",348,348,2,3,13,0,0,348,17,331,330,18
"Florence city, Lyon County, Minnesota",28,28,0,0,0,0,0,28,9,19,28,0
"Garvin city, Lyon County, Minnesota",127,127,0,0,0,0,0,127,2,125,127,0
"Ghent city, Lyon County, Minnesota",354,309,4,0,0,0,41,354,43,311,354,0
"Grandview township, Lyon County, Minnesota",319,314,2,0,5,0,2,319,2,317,315,4
"Island Lake township, Lyon County, Minnesota",160,160,0,0,0,0,0,160,0,160,160,0
"Lake Marshall township, Lyon County, Minnesota",528,506,19,0,0,0,3,528,12,516,528,0
"Lucas township, Lyon County, Minnesota",221,213,0,0,8,0,0,221,0,221,221,0
"Lynd city, Lyon County, Minnesota",512,396,24,2,26,1,75,512,75,437,502,10
"Lynd township, Lyon County, Minnesota",378,376,2,8,2,0,0,378,0,378,368,10
"Lyons township, Lyon County, Minnesota",163,163,0,0,0,0,0,163,0,163,163,0
"Marshall city, Lyon County, Minnesota",13706,11718,887,129,721,25,557,13706,1160,12546,13420,286
"Minneota city, Lyon County, Minnesota",1364,1317,10,2,19,0,23,1364,90,1274,1359,5
"Monroe township, Lyon County, Minnesota",243,242,0,0,1,0,0,243,4,239,243,0
"Nordland township, Lyon County, Minnesota",244,244,0,16,0,0,0,244,0,244,228,16
"Rock Lake township, Lyon County, Minnesota",327,303,0,0,0,0,24,327,24,303,327,0
"Russell city, Lyon County, Minnesota",384,353,3,8,27,0,0,384,0,384,377,7
"Shelburne township, Lyon County, Minnesota",195,195,0,3,0,0,0,195,0,195,192,3
"Sodus township, Lyon County, Minnesota",340,340,0,0,0,0,0,340,0,340,340,0
"Stanley township, Lyon County, Minnesota",211,209,0,9,1,0,0,211,2,209,203,8
"Taunton city, Lyon County, Minnesota",156,148,14,0,0,0,0,156,5,151,150,6
"Tracy city, Lyon County, Minnesota",2142,1894,0,28,236,0,10,2142,21,2121,2116,26
"Vallers township, Lyon County, Minnesota",195,193,1,2,0,0,1,195,1,194,193,2
"Westerheim township, Lyon County, Minnesota",253,253,0,0,0,0,0,253,0,253,253,0
"Acoma township, McLeod County, Minnesota",1139,1133,0,0,6,0,0,1139,6,1133,1139,0
"Bergen township, McLeod County, Minnesota",838,835,0,0,3,0,0,838,52,786,838,0
