Geography,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Total population,Hispanic or Latino (of any race),Not Latino,One Race,Two or More Races
"Ortonville city, Big Stone County, Minnesota",1927,1918,9,9,0,0,0,1927,58,1869,1918,9
"Ortonville township, Big Stone County, Minnesota",74,74,0,0,0,0,0,74,0,74,74,0
"Otrey township, Big Stone County, Minnesota",46,46,0,0,0,0,0,46,0,46,46,0
"Prior township, Big Stone County, Minnesota",157,157,0,0,0,0,0,157,0,157,157,0
"Toqua township, Big Stone County, Minnesota",21,21,0,0,0,0,0,21,0,21,21,0
"Amboy city, Blue Earth County, Minnesota",744,744,10,4,0,0,0,744,77,667,730,14
"Beauford township, Blue Earth County, Minnesota",458,457,1,0,0,0,0,458,6,452,458,0
"Butternut Valley township, Blue Earth County, Minnesota",305,303,0,0,0,0,2,305,3,302,305,0
"Cambria township, Blue Earth County, Minnesota",239,238,0,1,0,0,0,239,0,239,239,0
"Ceresco township, Blue Earth County, Minnesota",184,183,33,4,0,0,5,184,5,179,147,37
"Danville township, Blue Earth County, Minnesota",223,220,0,2,3,0,0,223,3,220,221,2
"Decoria township, Blue Earth County, Minnesota",1242,1231,4,1,11,0,0,1242,6,1236,1237,5
"Eagle Lake city, Blue Earth County, Minnesota",2812,2573,280,15,19,6,0,2812,58,2754,2731,81
"Garden City township, Blue Earth County, Minnesota",821,806,0,12,0,2,6,821,6,815,816,5
"Good Thunder city, Blue Earth County, Minnesota",568,551,19,0,7,0,10,568,18,550,549,19
"Jamestown township, Blue Earth County, Minnesota",666,666,0,0,0,0,2,666,0,666,664,2
"Judson township, Blue Earth County, Minnesota",582,579,3,0,0,0,0,582,0,582,582,0
"Lake Crystal city, Blue Earth County, Minnesota",2430,2420,9,8,0,0,10,2430,34,2396,2413,17
"Le Ray township, Blue Earth County, Minnesota",744,725,11,0,28,0,3,744,6,738,721,23
"Lime township, Blue Earth County, Minnesota",995,982,46,0,0,0,3,995,7,988,959,36
"Lincoln township, Blue Earth County, Minnesota",208,205,0,0,3,0,0,208,4,204,208,0
"Lyra township, Blue Earth County, Minnesota",294,286,0,6,2,0,2,294,2,292,292,2
"McPherson township, Blue Earth County, Minnesota",417,412,5,0,0,0,0,417,0,417,417,0
"Madison Lake city, Blue Earth County, Minnesota",957,931,19,0,7,0,0,957,15,942,957,0
"Mankato city, Blue Earth County, Minnesota",41241,37683,2435,332,1718,38,261,41241,1572,39669,40066,1175
"Mankato township, Blue Earth County, Minnesota",1606,1579,7,4,23,0,0,1606,0,1606,1599,7
"Mapleton city, Blue Earth County, Minnesota",1634,1617,3,13,29,0,23,1634,48,1586,1590,44
